"Period","Red.y","Blue.y","RedActivists.y","RedVoters.y","BlueVoters.y","BlueActivists.y"
0,-0.120028303,0.330477288,-2.151533152,-0.981882861,0.211502315,-0.092420268
1,0.289207152,0.365345794,-0.428130338,0.166478534,-0.103302671,1.008678614
2,-0.008827813,0.92026747,-3.222841428,-0.435261602,-0.000823,0.23376385
3,-0.112261643,1.102454156,-2.860220004,-1.134941936,0.133777571,1.22692953
4,0.26724305,0.938176733,-0.905748003,-0.64734725,0.036319823,0.370555426
5,0.031589923,1.603885538,-1.664451313,-0.841581822,0.365971973,1.527103958
6,-0.243661172,1.546189428,-1.600783671,-1.125214551,0.549401512,2.559900882
7,-0.064212073,1.345455358,-0.90480567,-1.180361182,0.728126379,-0.424250008
8,-0.457221792,1.543556182,-2.448939473,-1.227868557,0.144717683,1.341344756
9,-0.747527738,0.830731319,-2.54036117,-0.874125749,0.189858064,2.021743208
10,-0.74279407,1.600237958,-1.316463579,-1.253365844,0.667373939,2.325546913
11,-0.763978734,0.988210809,-0.869882056,-1.06708774,0.586943191,0.048022195
12,-1.374056003,1.227830717,-3.818581184,-1.793668572,0.937453199,2.181011096
13,-1.090864605,0.424899288,-2.897361179,-1.016480433,0.471873518,2.151274875
14,-1.11973919,0.828007285,-3.245043441,-0.869658099,0.453560294,2.041587959
15,-1.090559032,1.16071378,-1.920817332,-1.2165108,0.525969269,0.736705217
16,-0.456950208,1.608275506,-3.726609167,-1.287500793,0.622135406,1.807069479
17,-0.86623002,1.576228103,-4.679716105,-1.535291766,0.771846527,2.676971984
18,-0.707688469,1.802937248,-4.137390736,-1.323925786,0.32880332,2.384873594
19,-0.464286672,2.087101926,-3.175826603,-1.40499802,1.02272967,-0.933892949
20,-0.294916037,1.502298487,-1.163284795,-1.013483764,0.510584571,1.909311964
21,-0.172708299,1.434866985,-1.597551165,-1.226142829,0.46458874,-2.838238352
22,0.048245203,1.478626052,0.193454449,-1.092814722,0.120447309,0.438702124
23,-0.343232137,1.449558973,-1.849306165,-1.38215122,0.632889045,0.737532862
24,-0.238701607,1.135276624,-0.336910878,-0.821574068,0.016104134,2.084447618
25,-0.058020433,1.09154241,0.803868608,-1.086715397,0.463655666,0.335512485
26,-0.179044406,0.686918274,-0.364607563,-0.331648396,-0.145624022,1.084000782
27,-0.366307444,0.293983965,-0.718182707,-0.879427327,0.30739951,-0.177924006
28,-0.443344976,0.182309256,0.422769758,-0.666481049,-0.363824185,1.05223494
29,-0.247756705,0.156490574,-0.668090543,-0.63925492,-0.179176593,0.108602858
30,-0.507531099,-0.157177753,0.395760892,-0.803124916,0.322886383,-0.632226649
31,-0.3849016,0.124976677,0.613670556,-0.755690717,0.042684909,-0.494433619
32,-0.253274002,0.01141454,0.111790393,-0.868447037,0.185520704,0.754756588
33,-0.147716189,-0.020491809,-0.186662003,-0.223452452,-0.567484466,0.402655812
34,-0.078637131,-0.186599513,0.200069071,0.027222078,-0.280183051,-0.908842466
35,0.032826549,0.069560036,-0.156282582,-0.745977908,-0.126933731,0.258805858
36,0.293032049,-0.039784776,0.707764228,-0.147827602,0.186903071,-0.600152953
37,0.37097397,-0.255759452,0.228960899,-0.547376496,-0.413641711,-0.926602528
38,0.177926804,0.205608899,0.093655447,-0.242726751,-0.589618328,0.076020761
39,-0.077063009,-0.358197007,-0.53467968,0.264742826,-0.857495555,-0.156094315
40,0.199767541,-0.244562268,-0.115176865,-0.155519133,-0.048106486,0.08672976
41,0.27121415,0.098921173,-0.473301424,0.138533378,-0.21091033,-0.263001994
42,0.79916163,0.173076056,0.565228664,-0.011976807,-0.768036511,0.295096133
43,1.129673818,0.522490588,0.516425478,-0.118331644,-0.76279111,-0.287255903
44,1.227368769,0.481264049,-0.423147191,-0.106599368,-0.782584478,-0.358250561
45,0.984282071,0.396665124,0.897537124,-0.609603185,-0.512613682,-1.238295162
46,1.543790621,-0.021503301,0.890992912,0.064375999,-0.77439238,-0.292803756
47,1.224680048,-0.517579868,0.129834677,0.246956213,-1.261036846,-0.289349175
48,1.21071796,-0.81542311,0.312714104,0.362877263,-1.41618648,-0.987921758
49,1.231234007,-0.346858192,0.101172244,0.228518877,-0.850786671,-0.601514379
50,0.813486586,-0.423063246,0.514690053,0.205225395,-1.002657429,-0.284989391
51,1.279010679,-0.168799544,-0.176426296,0.031434688,-0.944349371,-0.472652498
52,0.955271064,-0.094074548,0.24282179,-0.071576228,-0.685472059,-0.571506535
53,1.811612687,-0.15728099,0.12498177,0.339749546,-1.00357764,-0.342886815
54,1.184250092,-0.318270713,-0.040110895,0.516435707,-1.101862664,-0.136273664
55,1.129877556,-0.25992524,0.482614322,0.165113283,-0.796201757,-0.083605972
56,1.432125537,-0.127671726,-0.238996478,0.110540024,-1.194842042,-0.60326538
57,1.625190525,-0.030051119,0.296931407,0.045624941,-0.421116959,-0.578067517
58,1.42205365,0.349361401,0.430886082,-0.275681144,-0.821785602,-0.041117943
59,1.614456716,0.591886109,0.655634605,-0.264832268,-0.727623633,0.289205554
60,1.459855085,0.553357116,-0.15374109,-0.193220062,-0.557409325,-0.426500847
61,1.042061946,0.342777251,0.60110897,-0.334676497,-0.386580686,0.055043756
62,1.391684724,0.774278172,0.586538508,-0.543278378,-0.594576739,-0.077887613
63,1.3063746,0.8123659,-0.230977953,-0.191360055,-0.340382227,-0.002926035
64,0.869874928,0.909389758,0.082320235,-0.203718881,-0.4616408,-0.408353381
65,0.880149891,1.039643132,0.418724716,-0.646078945,-0.263836211,0.007790444
66,0.513866092,0.64111056,0.220328266,-0.213974147,-0.694326922,-0.44944261
67,1.090701568,0.624963625,-0.348133965,0.030331536,-0.802557293,0.188491503
68,1.154177517,0.444666858,-0.133434803,-0.070424822,-0.57621252,-0.000506
69,1.136948497,0.315249319,0.320015476,-0.083517444,-0.990156565,-0.140138379
70,0.776732839,-0.063933191,0.285731991,-0.1000902,-0.178272444,-0.494786463
71,0.787323966,-0.165607322,0.571149289,-0.364726912,-0.673673808,-0.683793936
72,0.512174417,0.002975287,-0.352231229,-0.213366936,-1.004901276,-0.437340801
73,0.326593373,-0.45691834,0.111345682,-0.10896762,-0.875627288,-0.149409101
74,0.406326264,-0.246731324,-0.055357593,-0.322666466,-0.454198655,-0.878708811
75,0.074278085,-0.41240921,0.480918273,-0.110167962,-0.492783275,-0.450645112
76,-0.120149742,-0.436175517,0.129586414,-0.407196462,-0.1917718,0.038727405
77,-0.608234099,-0.636494019,0.375220704,-0.55096179,-0.278538664,0.094450285
78,-0.347429977,-0.578497407,0.021666542,-0.239754419,-0.312938359,0.223450055
79,-0.452508766,-0.441865567,-0.311438839,-0.706601927,-0.0947306,0.148677155
80,-0.429449869,-0.496797353,0.055882952,-0.5162329,-0.458678862,0.051521221
81,-0.235272872,-0.532593353,0.085518465,-0.477560766,-0.633446354,0.063816399
82,-0.158126373,-0.411020389,-0.01936693,-0.462360244,-0.268776845,-0.687194622
83,-0.39058573,-0.30293876,0.280198858,-0.643350763,-0.067571,-0.419823933
84,-0.510402894,-0.185152567,-0.498679799,-0.893095591,-0.042005506,-0.28051585
85,-0.824797289,-0.44361188,-0.095220525,-0.729737333,-0.05529438,-0.029135302
86,-0.765731918,-0.33175649,0.02836805,-0.638351382,-0.271279578,0.642563539
87,-0.855665948,0.015037587,-0.956399314,-0.545228884,-0.241367329,0.045412747
88,-0.604838381,-0.288734192,-0.683122796,-0.46840058,-0.208658555,-0.047382728
89,-0.491529087,-0.523383366,0.118677181,-0.510022676,-0.113555145,-0.036217276
90,-0.714961671,-0.456089208,0.069661675,-0.300590987,-0.437101996,-0.207342471
91,-0.910201024,-0.106994614,-0.036793654,-0.807825423,0.221199604,0.203379002
92,-0.447963834,0.178070742,-0.567364253,-0.934838733,-0.030808901,-0.236326218
93,-0.954849905,0.308214,-0.660101404,-1.14633747,0.549552358,-0.141398374
94,-0.943112093,0.23585135,-0.245682234,-1.166362513,0.055099565,-0.067904044
95,-1.088509257,0.23729327,-0.272066814,-0.955324569,-0.057583381,-0.095501102
96,-1.069117344,-0.181307611,-0.237247695,-1.448317124,0.346012214,-0.046061423
97,-1.187929036,-0.129838127,-0.077260175,-0.85357698,0.048130598,-0.037045499
98,-1.365961282,-0.187452532,-0.046767494,-0.834113087,0.225175442,-0.062955509
99,-1.264617095,-0.068560021,-0.621385348,-0.7386618,-0.010104019,0.000633
100,-1.307300961,-0.02637004,0.059901287,-0.919360358,-0.055867271,0.194501687
101,-1.12249048,-0.453900851,-0.183379489,-0.575654391,0.167351628,0.136170096
102,-1.171935471,-0.317899787,0.129171499,-0.636693108,-0.170823176,0.204597469
103,-1.168885699,-0.607328599,-0.466863305,-0.629137691,0.093493068,0.249143237
104,-1.191550242,-0.38225165,-0.237688966,-0.851301168,0.043681464,0.176202733
105,-0.765544689,-0.283151101,0.045420152,-0.839113883,-0.088235002,-0.035101839
106,-0.733044065,-0.138719366,-0.143713124,-0.599977896,-0.144967901,-0.394066092
107,-0.471175572,0.274195657,0.019807371,-0.937057926,0.029472975,0.471833445
108,-0.343960884,0.04408906,-0.036769471,-0.844650476,-0.129866755,-0.182522192
109,-0.447376545,0.281328511,0.005125742,-0.788598384,-0.071247614,-0.090866907
110,-0.267222323,0.404816099,-0.316973294,-0.899328805,-0.19539685,0.069902147
111,-0.283190634,0.365575167,0.127953616,-0.501656425,-0.001823528,-0.137106849
112,-0.030737427,0.269279426,0.026383319,-0.296246105,-0.135692628,-0.126276816
113,-0.140280675,0.307977938,0.167553046,-0.558799262,-0.316830709,0.259456555
114,-0.239802618,0.255869578,-0.138423893,-0.355127708,-0.317053076,-0.413833416
115,-0.522112536,0.450498,-0.204779127,-0.838542421,0.14900476,0.076617139
116,-0.252634096,0.425938438,0.342497999,-0.084755014,-0.411175982,-0.229029495
117,0.1509172,0.289311988,0.060035634,-0.380405664,-0.545563705,-0.30245632
118,-0.104147252,0.411737397,0.305562806,-0.493575179,-0.100611882,0.234629875
119,-0.205378089,0.301766546,0.279191971,-0.489936192,-0.153517152,-0.097624509
120,-0.283445632,0.245290762,-0.266907482,-0.655709932,-0.28180939,0.197146032
121,-0.387734687,0.26410588,-0.02021287,-0.713471643,0.148651995,-0.105596066
122,-0.362720989,0.08089177,-0.237333825,-0.790737581,0.303240966,-0.096721569
123,-0.15949292,-0.037318137,0.418208073,-0.457370826,-0.219207978,0.749718762
124,-0.07545459,-0.155346603,-0.635804266,-0.26325665,-0.440515855,-0.146382345
125,-0.130907355,-0.162325438,-0.209921936,-0.841039235,0.00770868,-0.711348905
126,0.024839459,0.213009229,-0.111236803,-0.551148994,-0.70663354,-0.304548566
127,-0.056624953,0.250291309,-0.285524529,-0.45856035,-0.210632386,-0.186224581
128,-0.088053237,0.330424057,0.308447953,-0.796102067,-0.111542456,-0.047048775
129,-0.389838772,0.341945814,0.060443662,-0.959359943,0.014875797,-0.445191164
130,-0.445429286,0.360984016,-0.171584612,-0.512484933,-0.097209302,-0.543230808
131,-0.544309935,0.285926707,-0.557027788,-0.844476895,0.194781516,-0.293634917
132,-0.867924012,0.445039442,-0.556087758,-1.013924995,0.438820927,0.207929933
133,-0.864042024,0.363815451,-0.601363896,-0.760417772,-0.055569691,-0.032810873
134,-0.562217335,0.448144082,0.193434479,-1.297886939,0.201737402,-0.247480095
135,-0.472362728,0.829040171,-0.407667868,-0.471513581,-0.095828039,0.173140821
136,-0.902550156,0.762174337,-0.502094959,-1.297708431,0.030584301,-0.214333767
137,-0.826052591,0.84166961,-0.406287769,-1.137422991,0.148542944,0.009666268
138,-1.161384343,0.703262144,0.062312586,-0.646857154,0.116711856,-0.115695212
139,-0.739588651,0.282723388,-0.052488222,-1.142167591,0.454107539,0.129941
140,-0.988239837,0.553875163,-0.059278473,-0.994938641,0.132011368,0.339228879
141,-0.89373681,0.45417587,0.232100323,-1.178085933,0.31843441,-0.034813674
142,-0.877325539,0.643867712,0.540822048,-0.957491935,0.334706204,0.371749262
143,-0.698090982,0.271373022,-0.045574467,-0.218981766,-0.319558899,-0.104090299
144,-0.712117162,0.294571696,0.063723248,-0.253807551,-0.03429493,-0.318990444
145,-1.048037631,0.489931839,-0.447939232,-0.999339567,0.092401194,0.030059771
146,-1.062885872,0.624778122,0.143694843,-0.872507111,0.435215389,-0.965621805
147,-0.866461528,0.542703275,0.73774296,-0.78302216,-0.027109055,-0.656003224
148,-0.855776138,0.439879551,0.118137941,-0.781842298,0.446136768,0.064717353
149,-0.670149095,0.290779202,-0.157984934,-0.45115407,-0.095761784,-0.220910559
150,-0.469704214,0.559848048,-0.191596922,-0.453342208,-0.456618504,-0.184196144
151,-0.739097376,0.633605143,-0.500715446,-1.107804575,0.098262605,-0.014574307
152,-0.600261814,1.030283966,-0.155172848,-1.002193664,0.443782362,-0.181010836
153,-0.47051207,1.225858087,-0.031893612,-0.982707314,0.252934796,0.910983422
154,-0.390404871,1.578122457,-0.395111956,-1.105878187,0.430336914,-0.364307195
155,-0.61101868,1.392174444,-0.231469836,-1.309097232,0.364111032,0.305295788
156,-0.670271741,1.345021429,0.040573358,-1.21727285,0.456043168,-0.169721056
157,-0.982316739,1.356971539,-0.91785862,-0.968229697,0.263949499,-0.119502626
158,-0.758437356,1.637607034,-0.578408283,-1.008985239,0.215592707,-0.283755145
