"who","color","heading","xcor","ycor","in.bounds.","adaptive.","this.district.act","pref.d1","pref.d2","pref.d3","this.act.sal.d1","this.act.sal.d2","this.act.sal.d3"
"2288","0","326","-2.621296202","8.511022946","TRUE","TRUE","0","-2.6212962018800194","8.51102294597928","13.667028388012891","0.2814817851131492","0.6447093261842153","0.0738088887026354"
"2289","0","216","2.516213622","1.725206257","TRUE","TRUE","0","2.516213621950719","1.725206256550936","4.383154032180794","0.2877072656910964","0.696327687764302","0.015965046544601784"
"2290","0","53","-7.101501938","-4.366736346","TRUE","FALSE","0","-7.1015019382563995","-4.366736345808607","12.088435168232845","0.5986380733547522","0.4013603632253791","1.5634198687451097E-6"
"2291","105","338","-3.555199532","-10.45721057","TRUE","TRUE","0","-3.555199531620554","-10.457210565061967","9.614698490834309","0.6752303469573292","0.029378610278089728","0.29539104276458117"
"2292","0","42","-9.448062698","-8.710160755","TRUE","TRUE","0","-9.448062698080827","-8.71016075481514","10.942396214099148","0.9025755071181281","0.09719760872741535","2.268841544564123E-4"
"2293","15","38","5.088474335","-10.72937302","TRUE","TRUE","0","5.088474335313724","-10.729373016578556","8.331201090707811","0.34197915395478","0.6580182833516554","2.5626935644775724E-6"
"2294","0","266","5.608932078","2.828607473","TRUE","TRUE","0","5.608932078189551","2.8286074726583275","12.785714703564441","0.46424594879365133","0.5224795910875711","0.013274460118777623"
"2295","0","234","-12.63080349","-1.934501803","TRUE","TRUE","0","-12.630803494804216","-1.9345018025421892","16.37985064221469","0.42322820762768143","0.5616663457142239","0.015105446658094594"
"2296","0","339","-4.577223708","3.761758591","TRUE","TRUE","0","-4.577223707768168","3.76175859124058","-1.4785789584340545","0.33443044626105567","0.6337824358164944","0.031787117922449815"
"2297","0","127","-5.028242279","5.471876823","TRUE","TRUE","0","-5.028242278630706","5.471876822703355","15.966199403789641","0.9141420816840607","0.08573122560958951","1.2669270634971475E-4"
"2298","0","190","-10.79331011","-10.31659671","TRUE","TRUE","1","-10.793310107086414","-10.316596713587874","2.877359814082348","0.281139138809277","0.2830168568772394","0.43584400431348375"
"2299","0","252","-8.071612893","6.18082608","TRUE","FALSE","1","-8.071612892906227","6.180826079734375","1.8704130002811836","0.35020946718808105","0.6483151904990255","0.001475342312893548"
"2300","0","5","-8.737437409","-4.800217082","TRUE","TRUE","1","-8.737437409389878","-4.8002170817290875","4.414006498812544","0.2816611081026199","0.668364629573288","0.0499742623240922"
"2301","15","305","2.800091288","-2.505648688","TRUE","TRUE","1","2.8000912876097077","-2.5056486877551256","-22.14888549968196","0.35057887245293134","0.6494094441073203","1.1683439748324817E-5"
"2302","0","244","-8.033852879","-0.053912447","TRUE","TRUE","1","-8.033852878899426","-0.053912447364111105","1.700604288994234","0.7422743186108393","0.25772555103772055","1.3035144016925617E-7"
"2303","0","250","2.617215328","-7.383963386","TRUE","TRUE","1","2.6172153282854014","-7.3839633862977285","3.2916903177852355","0.3853834181265559","0.5996058381358754","0.015010743737568751"
"2304","0","80","-2.741628034","2.037058245","TRUE","TRUE","1","-2.7416280339075345","2.0370582449380255","-10.2686797024549","0.28159095019126684","0.6825452102129098","0.035863839595823434"
"2305","0","123","-11.39599601","-6.533517939","TRUE","TRUE","1","-11.39599601089281","-6.533517939312646","-11.538587660573878","0.3274418158627716","0.6725570560292354","1.1281079927462788E-6"
"2306","0","241","-3.807485073","-1.588883543","TRUE","FALSE","1","-3.8074850731071432","-1.588883542563154","-0.507071430995683","0.3595833053843465","0.6402487995625679","1.6789505308556293E-4"
"2307","0","122","-10.12443397","-0.73504348","TRUE","TRUE","1","-10.12443396761557","-0.7350434796239051","14.469734705141176","0.2999556079830678","0.21171871454815547","0.48832567746877686"
"2308","0","88","14.88603652","-15.29034846","TRUE","TRUE","2","14.886036521712818","-15.290348462950101","6.895944092726263","0.7433928217375146","0.25660292138356083","4.256878924689496E-6"
"2309","0","58","2.950985457","-7.22161013","TRUE","FALSE","2","2.950985457273747","-7.221610129824381","-4.645409600207671","0.8234249579905409","0.17653908399562937","3.5958013829744414E-5"
"2310","0","287","6.084240545","-16.59484282","TRUE","TRUE","2","6.084240544847475","-16.594842820050104","8.647240751125011","0.3876094282542152","0.3737966814142485","0.23859389033153633"
"2311","0","95","6.20891257","-7.310083799","TRUE","FALSE","2","6.208912570132991","-7.310083799441888","4.523610954245698","0.2827983553457114","0.5005161035917397","0.21668554106254895"
"2312","15","260","4.075815345","-4.6948645","TRUE","TRUE","2","4.075815344892663","-4.694864500447901","3.706353402795459","0.9149062400668204","0.08497868935156228","1.1507058161730179E-4"
"2313","0","233","5.038764707","-1.928030915","TRUE","TRUE","2","5.038764706724843","-1.928030914811715","13.780483614595196","0.28265079424428946","0.2750998995327501","0.44224930622296027"
"2314","15","348","6.412395793","-14.05441972","TRUE","TRUE","2","6.412395793304325","-14.054419722779333","-2.7051464881936482","0.34684031215149697","0.6525396312403007","6.200566082023365E-4"
"2315","15","299","22.21060308","-3.277371537","TRUE","TRUE","2","22.210603084078027","-3.277371536770009","0.22513109316557434","0.2809577405579118","0.7126359093536182","0.006406350088470002"
"2316","15","88","16.89135372","-7.921796264","TRUE","TRUE","2","16.891353724237188","-7.921796264065568","8.37660037104731","0.7424945941418655","0.25750540585813464","3.014593191628922E-17"
"2317","0","53","5.727724283","-3.87907223","TRUE","TRUE","2","5.727724282601871","-3.8790722299903173","-1.9111547728753766","0.4475420047801834","0.552457183976801","8.112430154258497E-7"
"2318","105","291","8.979781806","15.834633","TRUE","TRUE","3","8.979781805911696","15.834633000012248","3.4320459606261084","0.3701719461859218","0.3325991788212807","0.29722887499279754"
"2319","0","99","2.024510327","-6.05863853","TRUE","TRUE","3","2.0245103270372313","-6.0586385298142975","-9.537745693164613","0.2809941524181416","0.7190058471391804","4.426779676457933E-10"
