"who","color","heading","xcor","ycor","hidden.","this.district.cand","incumbent.","valence","util.temp","position.obs.d1","position.obs.d2","position.obs.d3","position.obs.last.d1","position.obs.last.d2","position.obs.last.d3"
"37961","15","39","0.86121792","-6.656404925","FALSE","156","TRUE","0.50724271","3.089701057","0.8612179197724182","-6.656404924827411","-0.9997195775643808","0.5020116636000652","-8.151584178092092","0.3609859678620408"
"39211","105","161","-2.248880653","5.361113453","FALSE","166","TRUE","0.516709778","1.152177819","-2.2488806530202945","5.361113453209985","3.474878333478295","-2.2960553351926536","5.286882358615311","3.6907933018081294"
"39322","15","261","-3.237255977","-2.001531962","FALSE","4","TRUE","0.161403781","2.56486801","-3.2372559765842452","-2.0015319617681357","-9.67131775323455","-3.339165637784398","0.8026413047822696","-3.6550284049750967"
"40151","15","39","6.780842243","-5.237751516","FALSE","18","TRUE","1.973098886","1.689635812","6.7808422433529065","-5.237751516222099","2.7652972704170855","0.5020116636000652","-8.151584178092092","0.3609859678620408"
"40341","15","39","2.84388942","-5.105253798","FALSE","162","TRUE","0.906086709","2.024726219","2.84388941953857","-5.1052537983673485","-1.9609349617744927","0.5020116636000652","-8.151584178092092","0.3609859678620408"
"40898","105","161","-5.503766844","6.120765885","FALSE","141","TRUE","2.122812166","2.241068832","-5.5037668444851064","6.120765885106571","3.9902313593102954","-2.2960553351926536","5.286882358615311","3.6907933018081294"
"40980","15","39","1.818791184","-7.138963797","FALSE","36","TRUE","0.69394723","0.455042422","1.8187911844382496","-7.138963797447226","0.5065809476654435","0.5020116636000652","-8.151584178092092","0.3609859678620408"
"41035","15","39","5.272745199","-9.549891646","FALSE","147","TRUE","1.397061665","2.162469729","5.2727451990354774","-9.549891646333133","-4.120722353931097","0.5020116636000652","-8.151584178092092","0.3609859678620408"
"41093","15","39","1.162990932","-5.406168098","FALSE","77","TRUE","0.529615544","3.867302568","1.1629909318629645","-5.40616809803462","-2.944971537888195","0.5020116636000652","-8.151584178092092","0.3609859678620408"
"41102","105","161","-4.96011682","1.035912328","FALSE","84","TRUE","0.508369446","1.13138106","-4.960116820424361","1.0359123283319405","5.2021479720597625","-2.2960553351926536","5.286882358615311","3.6907933018081294"
"41130","105","161","1.384986066","5.598505742","FALSE","95","TRUE","0.202024719","2.0179836","1.384986066033886","5.598505741605755","-1.9448324681712998","-2.2960553351926536","5.286882358615311","3.6907933018081294"
"41363","15","39","2.718578","-5.671443233","FALSE","51","TRUE","0.900743025","1.829487487","2.71857799964012","-5.671443233214814","-3.759292228154311","0.5020116636000652","-8.151584178092092","0.3609859678620408"
"41387","15","39","2.94127333","-5.634363704","FALSE","194","TRUE","1.010584551","10.43052308","2.941273330099386","-5.634363704218144","0.14843429110805673","0.5020116636000652","-8.151584178092092","0.3609859678620408"
"41436","105","161","-5.78318922","5.895797803","FALSE","48","TRUE","2.683532146","4.330276079","-5.7831892204775555","5.895797802841985","2.7102754477444977","-2.2960553351926536","5.286882358615311","3.6907933018081294"
"41492","105","161","-2.206450821","1.935230881","FALSE","197","TRUE","0.368965136","4.558407625","-2.206450820605138","1.9352308807705538","-3.762526566622881","-2.2960553351926536","5.286882358615311","3.6907933018081294"
"41590","15","39","4.731341513","-7.70178893","FALSE","113","TRUE","2.318341122","3.287602782","4.731341512515979","-7.701788929762095","-3.0926520734667218","0.5020116636000652","-8.151584178092092","0.3609859678620408"
"41615","15","39","5.499283508","-7.471672677","FALSE","193","TRUE","3.678376247","-0.325913725","5.499283507716819","-7.471672676713434","-2.3451478578336395","0.5020116636000652","-8.151584178092092","0.3609859678620408"
"41618","15","261","-1.547214713","-2.154398828","FALSE","158","TRUE","0.212501132","0.853373494","-1.5472147125536075","-2.154398828276596","-11.940943869838495","-3.339165637784398","0.8026413047822696","-3.6550284049750967"
"41688","15","39","1.992492862","-1.361654555","FALSE","61","TRUE","0.402856409","2.489787343","1.9924928615039499","-1.3616545546381886","2.473345952719545","0.5020116636000652","-8.151584178092092","0.3609859678620408"
"41711","15","39","4.415093159","-5.416367421","FALSE","190","TRUE","1.817996866","1.054801647","4.415093159247948","-5.41636742073608","-1.2179039397753297","0.5020116636000652","-8.151584178092092","0.3609859678620408"
"41713","15","39","2.653300562","-5.823508706","FALSE","115","TRUE","0.916438403","0.7065064","2.6533005617897034","-5.823508706233525","-0.4794320816266828","0.5020116636000652","-8.151584178092092","0.3609859678620408"
"41782","105","161","-5.916936249","8.043122458","FALSE","23","TRUE","1.675481986","7.403869014","-5.916936249483536","8.04312245766847","-2.6340894603383207","-2.2960553351926536","5.286882358615311","3.6907933018081294"
"41793","105","161","-6.365837592","4.51991569","FALSE","111","TRUE","1.9479972","1.642245899","-6.365837592396279","4.519915690485259","2.7016032801527663","-2.2960553351926536","5.286882358615311","3.6907933018081294"
"41827","105","161","-6.281120213","4.787504712","FALSE","94","TRUE","2.16369859","1.325049946","-6.281120213386741","4.787504711634673","2.8637629460434932","-2.2960553351926536","5.286882358615311","3.6907933018081294"
"41861","105","161","-3.242793365","8.167806718","FALSE","161","TRUE","0.668992514","3.112313982","-3.242793365291143","8.167806718406949","-0.7298512922151934","-2.2960553351926536","5.286882358615311","3.6907933018081294"
"41900","105","161","-2.975907102","3.757131492","FALSE","165","TRUE","0.584522929","2.535608395","-2.9759071024603383","3.7571314920726024","0.12143378313922781","-2.2960553351926536","5.286882358615311","3.6907933018081294"
"41904","105","161","-5.305312045","3.191632268","FALSE","29","TRUE","0.940581735","4.288496939","-5.305312044534897","3.191632267652791","5.178793298450919","-2.2960553351926536","5.286882358615311","3.6907933018081294"
"41909","105","161","-1.666884722","6.186595253","FALSE","52","TRUE","0.436949117","0.5779551","-1.6668847223995467","6.186595253479568","3.130460189316271","-2.2960553351926536","5.286882358615311","3.6907933018081294"
"41924","105","161","-2.51618203","1.607657253","FALSE","58","TRUE","0.377423508","5.527071361","-2.516182030036404","1.6076572527553024","-3.5356894660884706","-2.2960553351926536","5.286882358615311","3.6907933018081294"
"41976","105","161","-3.972319289","2.972605095","FALSE","42","TRUE","0.661323636","0.589660336","-3.972319289246448","2.97260509451287","-5.271855295007843","-2.2960553351926536","5.286882358615311","3.6907933018081294"
"41997","105","161","-4.055507922","2.495767637","FALSE","71","TRUE","0.634083386","2.622453933","-4.055507921824894","2.4957676370803146","0.6897744248689968","-2.2960553351926536","5.286882358615311","3.6907933018081294"
"42000","105","161","-0.504471915","5.186199209","FALSE","9","TRUE","0.301799418","3.270982702","-0.5044719154142729","5.1861992093199385","7.113877733878827","-2.2960553351926536","5.286882358615311","3.6907933018081294"
"42012","15","39","6.752659382","-5.090989312","FALSE","56","TRUE","1.898220672","8.668783157","6.752659382366265","-5.090989311921704","2.6393460432812934","0.5020116636000652","-8.151584178092092","0.3609859678620408"
"42111","15","261","-1.839523431","-1.691570961","FALSE","19","TRUE","0.197737283","9.218070895","-1.8395234311211346","-1.6915709611251313","-10.808733475455174","-3.339165637784398","0.8026413047822696","-3.6550284049750967"
"42112","15","39","3.16510608","1.970018299","FALSE","41","TRUE","0.269451056","0.817107862","3.165106080461067","1.9700182992692639","0.9875196875697307","0.5020116636000652","-8.151584178092092","0.3609859678620408"
"42134","105","161","-3.468597507","6.868151411","FALSE","139","TRUE","0.780789456","1.474280109","-3.468597507320293","6.8681514114522475","4.9444472871027285","-2.2960553351926536","5.286882358615311","3.6907933018081294"
"42180","105","161","-4.503934974","4.843908562","FALSE","131","TRUE","1.214482303","-0.226350104","-4.503934973990935","4.843908561722352","0.10359014968893665","-2.2960553351926536","5.286882358615311","3.6907933018081294"
"42208","105","161","-4.731697425","9.064885997","FALSE","93","TRUE","0.894876206","0.644288572","-4.7316974249704815","9.064885997332633","1.1670787611631053","-2.2960553351926536","5.286882358615311","3.6907933018081294"
"42248","15","39","0.426482257","-1.679395501","FALSE","73","TRUE","0.313733915","3.709923423","0.42648225710349275","-1.679395501430747","-0.17580344254750457","0.5020116636000652","-8.151584178092092","0.3609859678620408"
"42249","15","39","4.77691249","1.445357749","FALSE","157","TRUE","0.326473205","3.645024872","4.776912490299168","1.4453577492340055","1.2276082827662134","0.5020116636000652","-8.151584178092092","0.3609859678620408"
"42286","15","39","1.601571339","-9.339114792","FALSE","137","TRUE","0.55998915","0.973856329","1.6015713386668238","-9.339114792421814","1.0164037130153145","0.5020116636000652","-8.151584178092092","0.3609859678620408"
"42287","15","39","3.673458966","-6.760041631","FALSE","7","TRUE","1.499681578","2.514527636","3.673458965975973","-6.760041630965045","2.2814645154059643","0.5020116636000652","-8.151584178092092","0.3609859678620408"
"42292","15","39","3.485007189","0.881420392","FALSE","163","TRUE","0.333551812","0.530925609","3.485007188720764","0.881420392173413","-1.5195590985283745","0.5020116636000652","-8.151584178092092","0.3609859678620408"
"42326","15","39","3.053999337","1.844075809","FALSE","145","TRUE","0.272288793","4.855672485","3.0539993371864185","1.8440758091116507","1.8129200578203664","0.5020116636000652","-8.151584178092092","0.3609859678620408"
"42360","15","39","-0.294271273","-3.866738204","FALSE","0","TRUE","0.327134921","2.369674145","-0.2942712726202319","-3.866738203901523","3.4688673232568608","0.5020116636000652","-8.151584178092092","0.3609859678620408"
"42391","15","39","5.447369748","-4.659020457","FALSE","86","TRUE","1.867656835","-0.038114626","5.4473697477387155","-4.659020457156867","-0.5863746506827012","0.5020116636000652","-8.151584178092092","0.3609859678620408"
"42393","15","39","1.781270271","-7.990665685","FALSE","135","TRUE","0.659976065","3.936328981","1.7812702714930553","-7.990665685036243","2.2373163681530843","0.5020116636000652","-8.151584178092092","0.3609859678620408"
"42420","15","39","1.993716378","-2.602413084","FALSE","21","TRUE","0.490511216","4.5020004","1.99371637828924","-2.602413083912381","-1.4164380236892995","0.5020116636000652","-8.151584178092092","0.3609859678620408"
"42430","15","39","4.382521211","-8.439620292","FALSE","87","TRUE","1.73612784","-0.233966483","4.382521211190259","-8.439620291751742","0.20687566402245572","0.5020116636000652","-8.151584178092092","0.3609859678620408"
"42458","15","39","2.438511669","-2.893533834","FALSE","22","TRUE","0.554395547","3.065517368","2.4385116686260355","-2.8935338342767283","5.415483178172657","0.5020116636000652","-8.151584178092092","0.3609859678620408"
"42487","105","161","-3.999427367","0.832297741","FALSE","53","TRUE","0.428649853","1.36051342","-3.9994273674590177","0.8322977414714863","4.746274607358896","-2.2960553351926536","5.286882358615311","3.6907933018081294"
"42490","105","161","-3.983457476","-0.0901344","FALSE","206","TRUE","0.354644404","4.26096959","-3.9834574763777852","-0.09013440000027728","5.467216953940176","-2.2960553351926536","5.286882358615311","3.6907933018081294"
"42508","105","161","-1.985306754","4.972855157","FALSE","205","TRUE","0.471712761","2.308309635","-1.98530675417302","4.972855157449322","-2.8533575682715107","-2.2960553351926536","5.286882358615311","3.6907933018081294"
"42514","105","161","-3.497494214","-0.710663771","FALSE","186","TRUE","0.304052635","2.279162129","-3.497494214453411","-0.7106637710704033","-2.658586149463302","-2.2960553351926536","5.286882358615311","3.6907933018081294"
"42517","105","161","-7.826817603","2.711800743","FALSE","119","TRUE","0.776487109","1.817543216","-7.826817602692702","2.7118007426198845","6.376680290632418","-2.2960553351926536","5.286882358615311","3.6907933018081294"
"42522","105","161","-5.525239897","2.378568387","FALSE","151","TRUE","0.75851276","1.68553113","-5.5252398974493975","2.3785683874914065","-6.5198833667751614","-2.2960553351926536","5.286882358615311","3.6907933018081294"
